Ambient Temperature(C): 21.7
Ambient Pressure(in Hg):
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	21.10	21.30	21.90	21.20	0.50	1.00	0.00	0.00
0.10	21.30	21.40	21.90	21.30	0.40	1.30	0.00	0.00
0.20	21.30	21.40	21.90	21.30	0.50	1.10	0.00	0.00
0.30	21.30	21.40	21.90	21.30	0.20	0.80	0.00	0.00
0.40	21.30	21.40	21.80	21.30	0.40	0.70	0.00	0.00
0.50	21.20	21.20	21.90	21.20	0.40	0.70	0.00	0.00
0.60	21.20	21.20	21.90	21.20	0.10	1.00	0.00	0.00
0.70	21.30	21.30	21.70	21.20	0.70	1.40	0.00	0.00
0.80	21.30	21.30	21.90	21.20	0.50	1.00	0.00	0.00
0.90	21.30	21.30	21.90	21.20	0.50	0.80	0.00	0.00
1.00	21.30	21.30	21.90	21.20	0.80	0.80	0.00	0.00
1.10	21.20	21.30	21.80	21.20	0.80	0.80	0.00	0.00
1.20	21.20	21.30	21.80	21.20	0.50	0.40	0.00	0.00
1.30	21.20	21.30	21.90	21.30	0.50	0.80	0.00	0.00
1.40	21.40	21.50	22.00	21.30	-0.50	0.70	0.00	0.00
1.50	21.40	21.50	22.00	21.30	-0.50	0.70	0.00	0.00
1.60	21.30	21.40	21.80	21.30	0.40	1.00	0.00	0.00
1.70	21.20	21.40	21.90	21.10	0.40	1.10	0.00	0.00
1.80	21.20	21.40	21.90	21.10	0.80	0.70	0.00	0.00
1.90	21.30	21.30	21.90	21.20	0.50	0.80	0.00	0.00
2.00	21.30	21.40	21.80	21.20	0.70	0.80	0.00	0.00
2.10	21.30	21.40	21.80	21.20	0.40	0.80	0.00	0.00
2.20	21.30	21.40	21.90	21.10	0.50	0.80	0.00	0.00
2.30	21.30	21.30	21.90	21.20	0.40	0.70	0.00	0.00
2.40	21.30	21.30	21.90	21.20	0.40	0.70	0.00	0.00
2.50	21.20	21.30	21.80	21.20	0.40	0.70	0.00	0.00
2.60	21.30	21.30	21.90	21.10	0.80	1.00	0.00	0.00
2.70	21.30	21.30	21.90	21.10	0.10	1.00	0.00	0.00
2.80	21.30	21.30	22.00	21.30	0.70	0.80	0.00	0.00
2.90	21.20	21.40	21.80	21.30	0.20	1.00	0.00	0.00
3.00	21.20	21.40	21.80	21.30	0.20	1.10	0.00	0.00
3.10	21.10	21.20	21.80	21.10	0.70	1.10	0.00	0.00
3.20	21.10	21.20	21.80	21.10	0.20	0.80	0.00	0.00
3.30	21.30	21.50	21.90	21.30	0.40	0.80	0.00	0.00
3.40	21.20	21.30	21.90	21.20	0.40	0.80	0.00	0.00
3.50	21.20	21.30	21.90	21.20	0.40	1.30	0.00	0.00
3.60	21.20	21.30	21.90	21.10	0.40	0.70	0.00	0.00
3.70	21.20	21.20	21.90	21.10	0.40	0.80	0.00	0.00
3.80	21.20	21.20	21.90	21.10	0.20	0.80	0.00	0.00
3.90	21.20	21.30	21.80	21.30	0.70	1.10	0.00	0.00
4.00	21.30	21.30	22.00	21.30	0.50	1.00	0.00	0.00
4.10	21.30	21.30	22.00	21.30	0.70	0.70	0.00	0.00
4.20	21.30	21.40	21.90	21.30	0.50	1.40	0.00	0.00
4.30	21.30	21.40	21.90	21.30	0.50	1.40	0.00	0.00
4.40	21.30	21.40	21.90	21.30	0.40	0.70	0.00	0.00
4.50	21.20	21.30	21.80	21.20	0.40	0.80	0.00	0.00
4.60	21.20	21.30	21.80	21.20	0.50	1.00	0.00	0.00
4.70	21.30	21.30	21.90	21.20	0.40	1.00	0.00	0.00
4.80	21.40	21.40	22.00	21.30	0.80	1.10	0.00	0.00
4.90	21.40	21.40	22.00	21.30	0.40	1.10	0.00	0.00
5.00	21.20	21.30	22.00	21.10	0.80	1.00	0.00	0.00
5.10	21.10	21.20	21.90	21.20	0.50	1.10	0.00	0.00
5.20	21.10	21.20	21.90	21.20	1.00	0.80	0.00	0.00
5.30	21.30	21.30	21.80	21.20	1.00	0.80	0.00	0.00
5.40	21.30	21.30	21.80	21.20	0.20	1.00	0.00	0.00
5.50	21.30	21.30	21.80	21.20	0.50	1.00	0.00	0.00
5.60	21.30	21.30	21.90	21.30	0.10	0.70	0.00	0.00
5.70	21.30	21.30	21.90	21.30	0.50	1.40	0.00	0.00
5.80	21.40	21.40	21.90	21.10	0.20	1.10	0.00	0.00
5.90	21.30	21.30	21.90	21.30	0.40	0.70	0.00	0.00
6.00	21.30	21.40	21.90	21.30	0.50	0.70	0.00	0.00
6.10	21.30	21.40	21.90	21.30	0.40	1.00	0.00	0.00
6.20	21.40	21.40	22.00	21.30	0.40	1.00	0.00	0.00
6.30	21.40	21.40	22.00	21.30	0.20	0.70	0.00	0.00
6.40	21.40	21.30	21.90	21.10	0.20	0.80	0.00	0.00
6.50	21.40	21.30	21.90	21.10	0.50	1.00	0.00	0.00
6.60	21.40	21.30	21.90	21.20	0.40	1.30	0.00	0.00
6.70	21.30	21.30	21.80	21.20	0.40	1.30	0.00	0.00
6.80	21.30	21.30	21.80	21.20	0.40	1.00	0.00	0.00
6.90	21.50	21.30	21.80	21.30	0.40	0.70	0.00	0.00
7.00	21.30	21.30	21.90	21.20	0.50	0.40	0.00	0.00
7.10	21.30	21.30	21.90	21.20	0.50	0.40	0.00	0.00
7.20	21.40	21.40	21.90	21.30	0.40	0.80	0.00	0.00
7.30	21.40	21.40	21.90	21.20	0.50	1.00	0.00	0.00
7.40	21.40	21.40	21.90	21.20	0.70	1.10	0.00	0.00
7.50	21.40	21.50	21.80	21.20	0.20	0.70	0.00	0.00
7.60	21.40	21.40	21.80	21.20	0.40	0.80	0.00	0.00
7.70	21.40	21.40	21.80	21.20	0.80	0.70	0.00	0.00
7.80	21.30	21.50	21.90	21.20	0.80	1.00	0.00	0.00
