Ambient Temperature(C): 21.7
Ambient Pressure(in Hg): 
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	24.60	26.20	24.80	22.60	0.80	1.70	0.00	0.00
0.10	24.50	26.30	25.00	22.70	0.80	1.90	0.00	0.00
0.20	24.50	26.30	25.00	22.70	0.80	2.20	0.00	0.00
0.30	24.50	26.20	24.80	22.60	0.80	2.20	0.00	0.00
0.40	24.40	26.30	24.90	22.60	0.80	1.60	0.00	0.00
0.50	24.40	26.30	24.90	22.60	0.70	2.20	0.00	0.00
0.60	24.50	26.30	24.80	22.60	0.70	2.20	0.00	0.00
0.70	24.40	26.20	24.90	22.70	0.80	2.20	0.00	0.00
0.80	24.40	26.20	24.90	22.70	0.80	2.20	0.00	0.00
0.90	24.40	26.20	24.80	22.60	0.80	2.20	0.00	0.00
1.00	24.40	26.30	24.90	22.60	0.80	2.10	0.00	0.00
1.10	24.40	26.30	24.90	22.60	0.80	2.40	0.00	0.00
1.20	24.50	26.20	24.80	22.60	0.80	2.40	0.00	0.00
1.30	24.40	26.30	24.70	22.70	0.50	2.10	0.00	0.00
1.40	24.40	26.30	24.70	22.70	0.80	2.20	0.00	0.00
1.50	24.50	26.30	24.90	22.70	1.00	0.50	0.00	0.00
1.60	24.50	26.30	24.80	22.80	0.50	1.70	0.00	0.00
1.70	24.50	26.30	24.80	22.80	0.80	2.10	0.00	0.00
1.80	24.50	26.20	24.70	22.60	0.80	0.40	0.00	0.00
1.90	24.50	26.30	24.80	22.60	-0.90	2.40	0.00	0.00
2.00	24.50	26.30	24.80	22.60	0.70	1.90	0.00	0.00
2.10	24.50	26.30	24.90	22.70	0.50	1.70	0.00	0.00
2.20	24.60	26.30	24.90	22.70	0.50	1.70	0.00	0.00
2.30	24.60	26.30	24.90	22.70	0.50	1.90	0.00	0.00
2.40	24.50	26.20	24.90	22.60	0.70	1.90	0.00	0.00
2.50	24.60	26.30	24.90	22.70	0.70	2.10	0.00	0.00
2.60	24.60	26.30	24.90	22.70	0.70	2.20	0.00	0.00
2.70	24.60	26.30	24.90	22.60	0.50	2.10	0.00	0.00
2.80	24.50	26.30	24.70	22.50	0.80	1.90	0.00	0.00
2.90	24.50	26.30	24.70	22.50	0.80	2.40	0.00	0.00
3.00	24.50	26.20	24.80	22.60	0.20	2.10	0.00	0.00
3.10	24.50	26.20	24.80	22.60	0.20	2.10	0.00	0.00
3.20	24.70	26.30	24.80	22.60	0.70	2.20	0.00	0.00
3.30	24.40	26.20	24.60	22.50	1.00	2.50	0.00	0.00
3.40	24.40	26.20	24.60	22.50	0.70	2.10	0.00	0.00
3.50	24.70	26.30	25.00	22.70	0.80	1.90	0.00	0.00
3.60	24.70	26.30	24.90	22.60	0.70	1.90	0.00	0.00
3.70	24.70	26.30	24.90	22.60	0.50	1.70	0.00	0.00
3.80	24.60	26.30	24.90	22.60	0.70	2.20	0.00	0.00
3.90	24.60	26.30	24.70	22.70	0.70	2.20	0.00	0.00
4.00	24.60	26.30	24.70	22.70	0.70	2.20	0.00	0.00
4.10	24.60	26.20	24.80	22.60	1.00	2.20	0.00	0.00
4.20	24.50	26.30	24.70	22.50	0.70	2.10	0.00	0.00
4.30	24.50	26.30	24.70	22.50	3.00	2.50	0.00	0.00
4.40	24.30	26.40	24.90	22.50	2.80	2.70	0.00	0.00
4.50	24.90	26.30	24.70	22.50	3.00	2.80	0.00	0.00
4.60	24.90	26.30	24.70	22.50	2.70	2.80	0.00	0.00
4.70	25.10	26.30	24.90	22.60	3.00	2.20	0.00	0.00
4.80	25.50	26.30	24.90	22.70	2.80	3.00	0.00	0.00
4.90	25.50	26.30	24.90	22.70	2.80	3.00	0.00	0.00
5.00	25.50	26.30	24.90	22.60	2.70	2.50	0.00	0.00
5.10	25.50	26.30	24.90	22.60	2.40	2.70	0.00	0.00
5.20	25.70	26.30	24.90	22.70	2.50	2.40	0.00	0.00
5.30	25.60	26.20	24.80	22.60	2.70	2.40	0.00	0.00
5.40	25.60	26.20	24.80	22.60	2.70	2.70	0.00	0.00
5.50	25.70	26.30	24.80	22.60	2.80	2.50	0.00	0.00
5.60	25.70	26.30	24.80	22.60	3.00	1.90	0.00	0.00
5.70	25.60	26.30	24.80	22.80	3.10	2.70	0.00	0.00
5.80	25.60	26.30	24.80	22.60	2.50	2.70	0.00	0.00
5.90	25.60	26.30	24.80	22.60	2.50	2.70	0.00	0.00
6.00	25.40	26.20	24.80	22.50	2.80	2.70	0.00	0.00
6.10	25.40	26.30	24.80	22.70	2.80	2.80	0.00	0.00
6.20	25.40	26.30	24.80	22.70	2.50	2.80	0.00	0.00
6.30	25.30	26.20	24.80	22.60	2.50	2.20	0.00	0.00
6.40	25.40	26.20	24.80	22.50	3.00	3.00	0.00	0.00
6.50	25.40	26.20	24.80	22.50	2.40	2.40	0.00	0.00
6.60	25.40	26.30	24.80	22.60	3.00	2.50	0.00	0.00
6.70	25.30	26.30	24.90	22.60	2.80	2.40	0.00	0.00
6.80	25.30	26.30	24.90	22.60	2.80	2.40	0.00	0.00
6.90	25.40	26.30	24.80	22.70	3.00	2.70	0.00	0.00
7.00	25.20	26.40	24.90	22.70	2.80	2.40	0.00	0.00
7.10	25.20	26.40	24.90	22.70	2.70	2.40	0.00	0.00
7.20	25.10	26.30	24.80	22.50	2.70	2.50	0.00	0.00
7.30	25.10	26.30	24.80	22.60	2.50	2.70	0.00	0.00
7.40	25.10	26.30	24.80	22.60	2.40	2.70	0.00	0.00
7.50	25.10	26.30	24.80	22.60	2.70	2.10	0.00	0.00
7.60	25.10	26.20	24.80	22.60	2.40	2.40	0.00	0.00
7.70	25.10	26.20	24.80	22.60	3.00	2.80	0.00	0.00
7.80	25.20	26.30	24.90	22.60	3.00	2.80	0.00	0.00
7.90	25.10	26.20	24.80	22.70	3.00	3.00	0.00	0.00
8.00	25.10	26.20	24.80	22.70	2.50	2.50	0.00	0.00
8.10	25.00	26.20	24.80	22.60	2.50	2.50	0.00	0.00
8.20	25.10	26.40	24.80	22.60	3.00	2.50	0.00	0.00
8.30	25.10	26.40	24.80	22.60	2.70	2.50	0.00	0.00
8.40	25.10	26.30	24.90	22.70	2.20	2.80	0.00	0.00
8.50	25.10	26.30	24.90	22.70	2.40	2.50	0.00	0.00
