Ambient Temperature(C): 21.7
Ambient Pressure(in Hg): 
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	34.70	30.30	27.30	23.70	39.20	2.70	0.00	0.00
0.10	34.80	30.40	27.10	23.80	38.90	2.70	0.00	0.00
0.20	34.80	30.40	27.10	23.80	38.90	2.40	0.00	0.00
0.30	34.90	30.30	27.20	23.80	38.70	2.40	0.00	0.00
0.40	34.90	30.30	27.20	23.80	38.70	2.40	0.00	0.00
0.50	34.80	30.30	27.20	23.80	38.60	2.70	0.00	0.00
0.60	35.00	30.50	27.30	23.90	39.00	2.40	0.00	0.00
0.70	35.00	30.50	27.30	23.90	38.90	2.50	0.00	0.00
0.80	34.80	30.40	27.30	23.90	38.90	2.50	0.00	0.00
0.90	34.80	30.40	27.20	23.80	38.40	2.40	0.00	0.00
1.00	34.80	30.40	27.20	23.80	38.90	2.40	0.00	0.00
1.10	34.80	30.40	27.20	23.80	39.00	2.40	0.00	0.00
1.20	34.80	30.40	27.20	23.90	38.60	2.40	0.00	0.00
1.30	34.80	30.40	27.20	23.90	38.60	2.40	0.00	0.00
1.40	34.80	30.40	27.30	23.90	38.90	2.80	0.00	0.00
1.50	34.80	30.40	27.30	23.90	38.90	2.70	0.00	0.00
1.60	34.80	30.40	27.20	23.80	38.90	2.20	0.00	0.00
1.70	34.80	30.40	27.20	23.80	39.00	2.50	0.00	0.00
1.80	34.70	30.30	27.20	23.70	39.20	2.50	0.00	0.00
1.90	34.80	30.30	27.20	23.80	38.90	2.10	0.00	0.00
2.00	34.80	30.30	27.20	23.80	38.60	2.50	0.00	0.00
2.10	34.70	30.30	27.20	23.80	38.70	2.50	0.00	0.00
2.20	34.80	30.30	27.20	23.80	38.90	2.40	0.00	0.00
2.30	34.80	30.30	27.20	23.80	38.90	2.40	0.00	0.00
2.40	34.90	30.50	27.30	23.80	39.00	2.40	0.00	0.00
2.50	34.90	30.50	27.30	23.80	39.00	2.40	0.00	0.00
2.60	34.80	30.40	27.20	23.80	38.90	2.70	0.00	0.00
2.70	34.70	30.30	27.20	23.70	38.70	2.40	0.00	0.00
2.80	34.70	30.30	27.20	23.70	38.90	2.50	0.00	0.00
2.90	34.70	30.40	27.20	23.80	39.00	2.20	0.00	0.00
3.00	34.80	30.30	27.20	23.80	39.00	2.20	0.00	0.00
3.10	34.80	30.30	27.20	23.80	38.70	2.50	0.00	0.00
3.20	34.80	30.30	27.20	23.80	38.70	2.50	0.00	0.00
3.30	34.70	30.10	27.10	23.70	38.70	2.50	0.00	0.00
3.40	34.70	30.10	27.10	23.70	38.60	2.20	0.00	0.00
3.50	34.80	30.40	27.30	24.00	38.90	2.80	0.00	0.00
3.60	34.70	30.40	27.20	23.80	38.90	2.40	0.00	0.00
3.70	34.70	30.40	27.20	23.80	39.20	2.70	0.00	0.00
3.80	34.50	30.10	27.20	23.80	38.70	2.40	0.00	0.00
3.90	34.70	30.40	27.20	23.80	38.90	2.70	0.00	0.00
4.00	34.70	30.40	27.20	23.80	38.60	2.50	0.00	0.00
4.10	34.80	30.30	27.30	23.80	38.60	2.50	0.00	0.00
4.20	34.60	30.40	27.20	23.90	37.50	2.70	0.00	0.00
4.30	34.60	30.40	27.20	23.90	38.70	2.20	0.00	0.00
4.40	34.60	30.40	27.30	23.80	39.50	2.20	0.00	0.00
4.50	34.60	30.40	27.30	23.80	38.70	2.50	0.00	0.00
4.60	34.70	30.40	27.30	23.90	38.40	2.40	0.00	0.00
4.70	34.60	30.30	27.10	23.80	38.90	3.00	0.00	0.00
4.80	34.60	30.30	27.10	23.80	39.00	2.20	0.00	0.00
4.90	34.60	30.30	27.10	23.70	38.70	2.50	0.00	0.00
5.00	34.80	30.20	27.20	23.90	38.70	2.50	0.00	0.00
5.10	34.80	30.20	27.20	23.90	39.00	2.80	0.00	0.00
5.20	34.80	30.30	27.30	23.90	38.90	2.50	0.00	0.00
5.30	34.70	30.30	27.20	23.90	38.60	2.50	0.00	0.00
5.40	34.70	30.30	27.20	23.90	38.10	2.40	0.00	0.00
5.50	34.60	30.20	27.20	23.90	39.00	2.70	0.00	0.00
5.60	34.60	30.20	27.20	23.90	38.90	2.80	0.00	0.00
5.70	34.70	30.30	27.30	23.80	38.20	2.40	0.00	0.00
5.80	34.60	30.20	27.20	23.90	38.70	2.40	0.00	0.00
5.90	34.60	30.20	27.20	23.90	38.90	1.90	0.00	0.00
6.00	34.70	30.20	27.20	23.80	38.90	1.90	0.00	0.00
6.10	34.80	30.20	27.20	23.90	38.70	2.40	0.00	0.00
6.20	34.80	30.20	27.20	23.90	38.70	3.00	0.00	0.00
6.30	34.70	30.10	27.20	23.70	39.00	2.50	0.00	0.00
6.40	34.80	30.20	27.20	23.70	38.60	2.50	0.00	0.00
6.50	34.80	30.20	27.20	23.70	38.60	2.70	0.00	0.00
6.60	34.60	30.20	27.20	23.80	38.90	2.40	0.00	0.00
6.70	34.60	30.10	27.20	23.80	39.00	2.40	0.00	0.00
6.80	34.60	30.10	27.20	23.80	38.90	2.40	0.00	0.00
6.90	34.60	30.20	27.20	23.80	38.90	2.40	0.00	0.00
7.00	34.60	30.20	27.20	23.80	39.00	2.40	0.00	0.00
7.10	34.50	30.10	27.10	23.70	38.60	2.50	0.00	0.00
7.20	34.60	30.30	27.10	23.90	38.90	2.80	0.00	0.00
7.30	34.60	30.30	27.10	23.90	39.00	2.20	0.00	0.00
7.40	34.70	30.20	27.30	24.00	38.90	2.70	0.00	2.00
7.50	34.60	30.10	27.20	23.80	39.00	2.40	0.00	2.00
7.60	34.60	30.10	27.20	23.80	38.70	2.80	0.00	2.00
7.70	34.80	30.20	27.20	23.80	38.70	2.40	0.00	2.00
7.80	34.60	30.20	27.20	23.90	38.40	2.40	0.00	2.00
7.90	34.60	30.20	27.20	23.90	38.70	2.40	0.00	2.00
8.00	34.70	30.30	27.30	23.80	38.70	2.50	0.00	2.00
8.10	34.60	30.30	27.20	23.70	38.70	2.40	0.00	2.00
8.20	34.60	30.30	27.20	23.70	39.00	2.40	0.00	2.00
8.30	34.70	30.00	27.20	23.80	38.70	2.40	0.00	2.00
8.40	34.70	30.20	27.20	23.80	38.70	2.10	0.00	4.00
8.50	34.70	30.20	27.20	23.80	38.60	2.50	0.00	4.00
8.60	34.70	30.30	27.20	23.80	39.20	2.40	0.00	4.00
8.70	34.70	30.20	27.30	23.90	39.00	2.10	0.00	4.00
8.80	34.70	30.20	27.30	23.90	39.00	2.10	0.00	4.00
8.90	34.80	30.30	27.30	23.90	38.40	2.40	0.00	4.00
9.00	34.80	30.30	27.30	23.90	38.60	2.20	0.00	4.00
9.10	34.80	30.40	27.20	23.80	38.20	2.80	0.00	4.00
9.20	34.70	30.30	27.20	23.70	39.00	2.50	0.00	4.00
9.30	34.70	30.30	27.20	23.70	38.70	2.40	0.00	4.00
9.40	34.80	30.30	27.30	23.90	39.20	2.70	0.00	4.00
9.50	34.80	30.20	27.20	23.90	38.90	2.20	0.00	6.00
9.60	34.80	30.20	27.20	23.90	38.90	2.70	0.00	6.00
9.70	34.90	30.20	27.20	23.80	38.90	2.70	0.00	6.00
9.80	34.80	30.30	27.20	23.90	38.60	2.50	0.00	6.00
9.90	34.80	30.30	27.20	23.90	38.90	2.40	0.00	6.00
