Ambient Temperature(C): 21.7
Ambient Pressure(in Hg): 
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	38.80	36.90	31.20	26.40	68.60	2.70	0.00	0.00
0.10	38.80	36.90	31.20	26.40	68.60	2.70	0.00	0.00
0.20	38.90	36.90	31.20	26.40	67.80	2.80	0.00	0.00
0.30	38.80	36.80	31.20	26.50	68.00	2.70	0.00	0.00
0.40	38.80	36.80	31.20	26.50	67.70	2.80	0.00	0.00
0.50	38.90	36.80	31.20	26.30	67.70	2.50	0.00	0.00
0.60	38.80	36.80	31.20	26.30	67.80	2.40	0.00	0.00
0.70	38.80	36.80	31.20	26.30	67.80	2.40	0.00	0.00
0.80	38.80	36.90	31.20	26.40	67.70	2.50	0.00	0.00
0.90	38.80	36.90	31.20	26.40	67.70	2.70	0.00	0.00
1.00	38.80	36.90	31.20	26.30	67.70	2.50	0.00	0.00
1.10	38.80	36.80	31.20	26.40	67.70	2.50	0.00	0.00
1.20	38.80	36.80	31.20	26.40	67.70	2.40	0.00	0.00
1.30	38.90	36.70	31.10	26.40	68.10	2.40	0.00	0.00
1.40	38.80	36.80	31.20	26.40	68.10	2.70	0.00	0.00
1.50	38.80	36.80	31.20	26.40	68.30	2.50	0.00	0.00
1.60	38.80	36.90	31.10	26.50	68.00	2.80	0.00	0.00
1.70	38.80	36.90	31.10	26.50	67.70	2.70	0.00	0.00
1.80	38.90	36.70	31.10	26.40	67.70	2.70	0.00	0.00
1.90	38.90	36.70	31.10	26.40	68.10	1.90	0.00	0.00
2.00	38.90	36.90	31.20	26.50	67.50	2.50	0.00	0.00
2.10	38.80	36.80	31.30	26.40	67.50	2.50	0.00	0.00
2.20	38.80	36.80	31.30	26.40	68.00	2.70	0.00	0.00
2.30	38.80	37.00	31.20	26.40	68.30	2.80	0.00	0.00
2.40	38.70	36.90	31.20	26.30	67.50	2.70	0.00	0.00
2.50	38.70	36.90	31.20	26.30	67.70	3.60	0.00	0.00
2.60	38.80	37.00	31.20	26.40	68.00	3.00	0.00	0.00
2.70	38.90	36.90	31.30	26.30	67.70	2.40	0.00	0.00
2.80	38.90	36.90	31.30	26.30	67.80	3.00	0.00	0.00
2.90	38.80	36.80	31.10	26.30	68.10	2.70	0.00	0.00
3.00	38.80	36.80	31.10	26.30	67.80	2.40	0.00	0.00
3.10	38.80	36.80	31.10	26.30	67.80	2.40	0.00	0.00
3.20	38.90	36.90	31.30	26.40	68.00	2.80	0.00	0.00
3.30	38.70	36.60	31.10	26.30	67.80	2.50	0.00	0.00
3.40	38.70	36.60	31.10	26.30	68.00	3.40	0.00	0.00
3.50	38.90	37.00	31.20	26.50	67.80	3.10	0.00	0.00
3.60	38.90	37.00	31.20	26.50	68.00	2.40	0.00	0.00
3.70	38.80	36.80	31.20	26.40	68.00	2.80	0.00	0.00
3.80	38.80	36.80	31.20	26.40	67.80	2.50	0.00	0.00
3.90	38.70	36.70	31.00	26.40	68.10	2.20	0.00	0.00
4.00	38.90	36.80	31.10	26.40	68.10	2.20	0.00	0.00
4.10	38.90	36.80	31.10	26.40	68.30	2.80	0.00	0.00
4.20	38.70	36.90	31.10	26.40	67.80	2.50	0.00	0.00
4.30	38.80	37.00	31.10	26.40	68.00	2.40	0.00	0.00
4.40	38.80	37.00	31.10	26.40	68.00	2.80	0.00	0.00
4.50	38.80	36.90	31.20	26.30	67.80	2.50	0.00	0.00
4.60	38.80	36.80	31.20	26.30	68.00	2.50	0.00	0.00
4.70	38.80	36.80	31.20	26.30	68.10	2.50	0.00	0.00
4.80	38.80	36.90	31.20	26.50	68.00	3.10	0.00	0.00
4.90	38.80	36.90	31.20	26.50	68.00	3.10	0.00	0.00
5.00	38.60	36.80	31.10	26.30	67.30	2.80	0.00	0.00
5.10	38.80	36.80	31.10	26.20	68.00	1.00	0.00	0.00
5.20	38.80	36.80	31.10	26.20	67.80	2.50	0.00	0.00
5.30	38.80	36.70	31.10	26.40	68.30	2.40	0.00	0.00
5.40	38.80	36.80	31.20	26.40	67.70	2.70	0.00	0.00
5.50	38.80	36.80	31.20	26.40	67.80	2.70	0.00	0.00
5.60	38.70	36.70	31.10	26.40	68.10	3.10	0.00	0.00
5.70	38.70	36.90	31.30	26.50	68.00	2.50	0.00	0.00
5.80	38.70	36.90	31.30	26.50	68.00	2.50	0.00	0.00
5.90	38.70	36.80	31.10	26.40	68.00	2.50	0.00	0.00
6.00	38.70	36.90	31.10	26.40	68.00	2.40	0.00	0.00
6.10	38.70	36.90	31.10	26.40	67.80	2.70	0.00	0.00
6.20	38.70	36.80	31.20	26.40	67.80	2.50	0.00	0.00
6.30	38.70	36.80	31.20	26.30	67.80	2.80	0.00	0.00
6.40	38.70	36.80	31.20	26.30	68.00	2.70	0.00	0.00
6.50	38.70	36.80	31.20	26.30	67.80	2.50	0.00	0.00
6.60	38.70	36.80	31.10	26.30	67.80	2.70	0.00	0.00
6.70	38.70	36.80	31.10	26.30	67.50	2.70	0.00	0.00
6.80	38.70	36.90	31.20	26.40	67.70	2.50	0.00	0.00
6.90	38.60	36.80	31.30	26.50	67.70	2.50	0.00	0.00
7.00	38.60	36.80	31.30	26.50	67.70	2.70	0.00	0.00
7.10	38.70	36.70	31.30	26.40	67.70	3.00	0.00	0.00
7.20	38.70	36.70	31.30	26.40	67.70	2.40	0.00	0.00
7.30	38.70	36.90	31.10	26.30	67.80	2.70	0.00	0.00
7.40	38.60	36.80	31.10	26.40	68.00	2.70	0.00	0.00
7.50	38.60	36.80	31.10	26.40	68.00	2.80	0.00	0.00
7.60	38.60	36.80	31.10	26.40	68.10	3.00	0.00	0.00
7.70	38.60	36.80	31.10	26.40	67.80	2.80	0.00	0.00
7.80	38.60	36.80	31.10	26.40	67.80	2.80	0.00	0.00
7.90	38.60	36.90	31.30	26.40	67.80	3.10	0.00	0.00
8.00	38.80	36.90	31.30	26.40	67.80	3.00	0.00	0.00
8.10	38.80	36.90	31.30	26.40	67.70	2.50	0.00	0.00
8.20	38.60	36.80	31.20	26.30	67.80	2.80	0.00	0.00
8.30	38.50	36.80	31.10	26.40	68.10	2.80	0.00	0.00
8.40	38.50	36.80	31.10	26.40	67.80	2.80	0.00	0.00
8.50	38.60	36.80	31.30	26.40	68.00	2.50	0.00	0.00
8.60	38.70	36.90	31.40	26.60	68.10	2.50	0.00	0.00
8.70	38.70	36.90	31.40	26.60	68.10	2.50	0.00	0.00
8.80	38.80	36.90	31.30	26.40	68.00	2.70	0.00	0.00
8.90	38.80	36.90	31.30	26.50	67.80	2.70	0.00	0.00
9.00	38.80	36.90	31.30	26.50	68.00	1.00	0.00	0.00
9.10	38.60	36.80	31.10	26.30	68.40	2.50	0.00	0.00
9.20	38.80	36.80	31.10	26.40	68.10	2.10	0.00	0.00
9.30	38.80	36.80	31.10	26.40	67.80	2.40	0.00	0.00
9.40	38.60	36.90	31.20	26.50	66.10	2.50	0.00	0.00
9.50	38.70	36.80	31.30	26.40	68.10	3.00	0.00	0.00
9.60	38.70	36.80	31.30	26.40	68.10	3.00	0.00	0.00
9.70	38.60	37.00	31.20	26.40	67.80	2.50	0.00	0.00
9.80	38.70	36.90	31.20	26.40	68.00	0.70	0.00	0.00
9.90	38.70	36.90	31.20	26.40	67.80	2.80	0.00	0.00
10.00	38.60	36.80	31.20	26.40	67.70	2.50	0.00	0.00
10.10	38.60	37.00	31.20	26.50	67.30	3.00	0.00	0.00
10.20	38.60	37.00	31.20	26.50	67.70	2.50	0.00	0.00
10.30	38.70	36.80	31.30	26.40	68.00	2.70	0.00	0.00
10.40	38.70	36.80	31.30	26.40	67.80	2.80	0.00	0.00
10.50	38.70	36.90	31.30	26.40	67.80	2.80	0.00	0.00
10.60	38.70	36.90	31.20	26.40	68.40	2.20	0.00	0.00
10.70	38.70	36.90	31.20	26.40	68.00	2.40	0.00	0.00
10.80	38.70	36.80	31.20	26.40	67.70	2.80	0.00	0.00
10.90	38.70	37.00	31.30	26.40	67.70	2.50	0.00	0.00
11.00	38.70	37.00	31.30	26.40	67.80	2.20	0.00	0.00
11.10	38.60	36.90	31.30	26.40	67.80	3.10	0.00	0.00
11.20	38.60	36.90	31.10	26.30	67.80	2.70	0.00	0.00
11.30	38.60	36.90	31.10	26.30	68.10	1.60	0.00	0.00
11.40	38.50	36.90	31.10	26.30	66.40	2.80	0.00	0.00
11.50	38.50	36.90	31.10	26.30	67.70	3.00	0.00	0.00
11.60	38.60	36.80	31.20	26.20	67.80	2.70	0.00	0.00
11.70	38.70	37.00	31.20	26.50	67.70	2.50	0.00	0.00
11.80	38.70	37.00	31.20	26.50	67.30	2.50	0.00	0.00
11.90	38.50	36.70	31.20	26.30	68.10	3.00	0.00	0.00
12.00	38.60	36.90	31.20	26.50	67.80	2.50	0.00	0.00
12.10	38.60	36.90	31.20	26.50	67.80	2.20	0.00	0.00
12.20	38.60	36.90	31.20	26.40	68.10	3.00	0.00	0.00
12.30	38.60	36.90	31.10	26.50	67.80	2.50	0.00	0.00
12.40	38.60	36.90	31.10	26.50	67.80	2.40	0.00	0.00
12.50	38.60	36.80	31.20	26.40	67.80	2.40	0.00	0.00
12.60	38.50	36.80	31.10	26.20	67.70	2.50	0.00	0.00
12.70	38.50	36.80	31.10	26.20	68.30	2.70	0.00	0.00
12.80	38.60	36.90	31.20	26.40	67.80	2.40	0.00	0.00
12.90	38.60	36.90	31.20	26.40	67.50	2.80	0.00	0.00
13.00	38.60	36.90	31.20	26.40	67.80	2.80	0.00	0.00
13.10	38.60	36.90	31.20	26.50	68.00	2.40	0.00	0.00
13.20	38.60	36.90	31.20	26.50	67.80	2.80	0.00	0.00
13.30	38.60	36.90	31.30	26.40	67.70	3.00	0.00	0.00
13.40	38.50	36.80	31.10	26.30	67.70	3.00	0.00	0.00
13.50	38.50	36.80	31.10	26.30	68.10	2.40	0.00	0.00
13.60	38.50	36.90	31.10	26.40	68.00	2.40	0.00	0.00
13.70	38.70	36.90	31.30	26.50	67.50	2.80	0.00	0.00
13.80	38.70	36.90	31.30	26.50	68.00	1.00	0.00	0.00
13.90	38.60	36.90	31.20	26.40	68.00	2.50	0.00	0.00
14.00	38.60	36.90	31.20	26.30	67.70	2.50	0.00	0.00
14.10	38.60	36.90	31.20	26.30	67.50	2.80	0.00	0.00
14.20	38.40	36.80	31.10	26.40	68.00	2.50	0.00	0.00
14.30	38.60	36.90	31.20	26.40	67.80	2.80	0.00	0.00
